,Phone Name,Rating ?/5,Number of Ratings,Back/Rare Camera,Front Camera,Processor,Price in INR,Date of Scraping,Company Name,Ram_size,Storage_size,Battery_size
1027,"vivo X70 Pro (Cosmic Black, 128 GB)",4.5,3791,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,44990,2023-06-17,vivo,8.0,128,4450
1028,"vivo V27 5G (Noble Black, 256 GB)",4.4,1897,50MP (OIS) + 8MP + 2MP,50MP Front Camera,Mediatek Dimensity 7200 5G Processor,36999,2023-06-17,vivo,12.0,256,4600
1029,"vivo Y100 A 5G (Twilight Gold, 256 GB)",3.7,9,64MP + 2MP + 2MP,16MP Front Camera,Mediatek Dimensity 900 Processor,26990,2023-06-17,vivo,8.0,256,4500
1030,"vivo T1X (Gravity Black, 128 GB)",4.5,92258,50MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 680 Processor,16999,2023-06-17,vivo,4.0,128,5000
1031,"vivo Y30 (Emerald Black, 128 GB)",4.3,14249,13MP + 8MP + 2MP + 2MP,8MP Front Camera,MediaTek Helio P35 Processor,18990,2023-06-17,vivo,4.0,128,5000
1032,"vivo Y20i (Dawn White, 64 GB)",4.4,10887,13MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 460 Processor,13499,2023-06-17,vivo,3.0,64,5000
1033,"vivo V11 (Starry Night Black, 64 GB)",4.5,17911,16MP + 5MP,25MP Front Camera,MediaTek P60 Octa Core 2.0 GHz Processor,24990,2023-06-17,vivo,6.0,64,3315
1034,"vivo Y100 A 5G (Metal Black, 256 GB)",3.7,9,64MP + 2MP + 2MP,16MP Front Camera,Mediatek Dimensity 900 Processor,26499,2023-06-17,vivo,8.0,256,4500
1035,"vivo X70 Pro (Aurora Dawn, 128 GB)",4.5,3791,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,43990,2023-06-17,vivo,8.0,128,4450
1036,"vivo X70 Pro (Aurora Dawn, 256 GB)",4.5,3791,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,48990,2023-06-17,vivo,8.0,256,4450
1037,"vivo Y100 A 5G (Pacific Blue, 256 GB)",3.7,9,64MP + 2MP + 2MP,16MP Front Camera,Mediatek Dimensity 900 Processor,27700,2023-06-17,vivo,8.0,256,4500
1038,"vivo U10 (Electric Blue, 32 GB)",4.4,44968,13MP + 8MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 665 AIE Processor,10990,2023-06-17,vivo,3.0,32,5000
1040,"vivo U10 (Thunder Black, 32 GB)",4.4,44968,13MP + 8MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 665 AIE Processor,10990,2023-06-17,vivo,3.0,32,5000
1041,"vivo V25 pro (Sailing Blue, 128 GB)",0.0,0,64MP + 8MP + 2MP,32MP Front Camera,Mediatek Dimensity 1300 Processor,28990,2023-06-17,vivo,8.0,128,4830
1043,"vivo X80 (Urban Blue, 128 GB)",4.5,841,50MP + 12MP + 12MP,32MP Front Camera,Mediatek Dimensity 9000 Processor,54999,2023-06-17,vivo,8.0,128,4500
1044,"vivo Z1Pro (Mirror Black, 64 GB)",4.5,360377,16MP + 2MP + 8MP,32MP Front Camera,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,15990,2023-06-17,vivo,4.0,64,5000
1045,"vivo U10 (Electric Blue, 64 GB)",4.4,44968,13MP + 8MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 665 AIE Processor,10999,2023-06-17,vivo,3.0,64,5000
1046,"vivo X21 (Black, 128 GB)",4.3,1897,12MP + 5MP,12MP Front Camera,Qualcomm Snapdragon 660 AIE Processor,36990,2023-06-17,vivo,6.0,128,3200
1047,"vivo X80 (Cosmic Black, 128 GB)",4.5,841,50MP + 12MP + 12MP,32MP Front Camera,Mediatek Dimensity 9000 Processor,54999,2023-06-17,vivo,8.0,128,4500
1048,"vivo V7+ (Gold, 64 GB)",4.4,17528,16MP Rear Camera,24MP Front Camera,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,22221,2023-06-17,vivo,4.0,64,3225
1050,"vivo V21 5G (Arctic White, 128 GB)",4.3,17455,64MP + 8MP + 2MP,44MP Front Camera,MediaTek Dimensity 800U Processor,27990,2023-06-17,vivo,8.0,128,4000
1051,"vivo V9 Youth (Black, 32 GB)",4.4,26963,16MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 450 Processor,19990,2023-06-17,vivo,4.0,32,3260
1052,"vivo Y69 (Gold, 32 GB)",4.3,5648,13MP Rear Camera,16MP Front Camera,Mediatek MT6750 Octa Core 1.5GHz Processor,14990,2023-06-17,vivo,3.0,32,3000
1053,"vivo Y02t (Sunset Gold, 64 GB)",4.3,42,8MP Rear Camera,5MP Front Camera,Helio P35 Processor,9999,2023-06-17,vivo,4.0,64,5000
1054,"vivo Y91 (Nebula Purple, 32 GB)",4.4,16017,13MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 439 Processor,10990,2023-06-17,vivo,3.0,32,4030
1055,"vivo X70 Pro (Aurora Dawn, 256 GB)",4.5,3791,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,48990,2023-06-17,vivo,8.0,256,4450
1056,"vivo Y81 (Black, 32 GB)",4.4,51306,13MP Rear Camera,5MP Front Camera,MT6762 Octa Core (Helio P22) Processor,13990,2023-06-17,vivo,3.0,32,3260
1057,"vivo X80 (Urban Blue, 128 GB)",4.5,841,50MP + 12MP + 12MP,32MP Front Camera,Mediatek Dimensity 9000 Processor,54999,2023-06-17,vivo,8.0,128,4500
1058,"vivo V9 (Sapphire Blue, 64 GB)",4.5,90513,16MP + 5MP,24MP Front Camera,Qualcomm Snapdragon 626 Processor,23990,2023-06-17,vivo,4.0,64,3260
1059,"vivo V17 (Glacier ice white, 128 GB)",4.5,8601,48MP + 8MP + 2MP + 2MP,32MP Front Camera,Qualcomm Snapdragon 675AIE Processor,27990,2023-06-17,vivo,8.0,128,4500
1060,"vivo V9 (Pearl Black, 64 GB)",4.5,90513,16MP + 5MP,24MP Front Camera,Qualcomm Snapdragon 626 Processor,23990,2023-06-17,vivo,4.0,64,3260
1061,"vivo V17 (Midnight Ocean Black, 128 GB)",4.5,8601,48MP + 8MP + 2MP + 2MP,32MP Front Camera,Qualcomm Snapdragon 675AIE Processor,27990,2023-06-17,vivo,8.0,128,4500
1063,"vivo V15 Pro (Topaz Blue, 128 GB)",4.5,31254,48MP + 5MP + 8MP,32MP Front Camera,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz Processor,32990,2023-06-17,vivo,6.0,128,3700
1064,"vivo V19 (Mystic Silver, 128 GB)",4.4,13534,48MP + 8MP + 2MP + 2MP,32MP + 8MP Dual Front Camera,Qualcomm Snapdragon 712 AIE Processor,30990,2023-06-17,vivo,8.0,128,4500
1065,"vivo X80 (Cosmic Black, 128 GB)",4.5,841,50MP + 12MP + 12MP,32MP Front Camera,Mediatek Dimensity 9000 Processor,54999,2023-06-17,vivo,8.0,128,4500
1066,"vivo Y33T (Mid day dream, 128 GB)",4.4,2742,50MP + 2MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 680 Processor,17989,2023-06-17,vivo,8.0,128,5000
1067,"vivo T1 5G (Silky White, 128 GB)",4.4,175223,50MP + 2MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 Processor,16990,2023-06-17,vivo,6.0,128,5000
1068,"vivo Y75 5G (Starlight Black, 128 GB)",4.4,1370,50MP + 2MP + 2MP,16MP Front Camera,Mediatek Dimensity 700 Processor,21990,2023-06-17,vivo,8.0,128,5000
1069,"vivo V21 5G (Dusk Blue, 256 GB)",4.3,17455,64MP + 8MP + 2MP,44MP Front Camera,MediaTek Dimensity 800U Processor,30990,2023-06-17,vivo,8.0,256,4000
1070,"vivo V21 5G (Neon Spark, 128 GB)",4.3,17455,64MP + 8MP + 2MP,44MP Front Camera,Mediatek Dimensity 800U Processor,27990,2023-06-17,vivo,8.0,128,4000
1071,"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.4,175223,50MP + 2MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 Processor,16990,2023-06-17,vivo,6.0,128,5000
1072,"vivo Y20T (Obsidian Black, 64 GB)",4.3,2531,13MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,15490,2023-06-17,vivo,6.0,64,5000
1073,"vivo Y21 (Midnight Blue, 128 GB)",4.3,14939,13MP + 2MP,8MP Front Camera,Mediatek Helio P35 Processor,13499,2023-06-17,vivo,4.0,128,5000
1074,"vivo Y21 (Diamond Glow, 128 GB)",4.3,14939,13MP + 2MP,8MP Front Camera,Mediatek Helio P35 Processor,13499,2023-06-17,vivo,4.0,128,5000
1076,"vivo V23 Pro 5G (Sunshine Gold, 128 GB)",4.3,3848,108MP + 8MP + 2MP,50MP + 8MP Dual Front Camera,Mediatek Dimensity 1200 Processor,38990,2023-06-17,vivo,8.0,128,4300
1077,"vivo Y31 (Racing Black, 128 GB)",4.4,8666,48MP + 2MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 662 Processor,15990,2023-06-17,vivo,6.0,128,5000
1078,"vivo Y31 (Ocean Blue, 128 GB)",4.4,8666,48MP + 2MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 662 Processor,16290,2023-06-17,vivo,6.0,128,5000
1079,"vivo Y12s (Glacier Blue, 32 GB)",4.3,16283,13MP + 2MP,8MP Front Camera,Snapdragon 439 Processor,9990,2023-06-17,vivo,3.0,32,5000
1080,"vivo Y12s (Phantom Black, 32 GB)",4.3,16283,13MP + 2MP,8MP Front Camera,Snapdragon 439 Processor,9990,2023-06-17,vivo,3.0,32,5000
1081,"vivo Y21 (Midnight Blue, 64 GB)",4.3,14939,13MP + 2MP,8MP Front Camera,Mediatek Helio P35 Processor,14499,2023-06-17,vivo,4.0,64,5000
1082,"vivo V23 Pro 5G (Sunshine Gold, 256 GB)",4.2,1580,108MP + 8MP + 2MP,50MP + 8MP Dual Front Camera,Mediatek Dimensity 1200 Processor,43990,2023-06-17,vivo,12.0,256,4300
1083,"vivo Y91i (Fusion Black, 32 GB)",4.3,43082,13MP Rear Camera,5MP Front Camera,MTK Helio P22 Processor,7990,2023-06-17,vivo,2.0,32,4030
1084,"vivo X60 (Shimmer Blue, 256 GB)",4.4,1077,48MP + 13MP + 13MP,32MP Front Camera,Qualcomm Snapdragon 870 Processor,36600,2023-06-17,vivo,12.0,256,4300
1085,"vivo Y20i (Nebula Blue, 64 GB)",4.4,10887,13MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 460 Processor,9999,2023-06-17,vivo,3.0,64,5000
1086,"vivo Y20A (Dawn White, 64 GB)",4.3,1912,13MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 439 Processor,10990,2023-06-17,vivo,3.0,64,5000
1087,"vivo Y53s (Deep Sea Blue, 128 GB)",4.3,19513,64MP + 2MP + 2MP,16MP Front Camera,MediaTek Helio G80 Processor,20990,2023-06-17,vivo,8.0,128,5000
1088,"vivo T1X (DIAMOND GLOW, 128 GB)",4.5,92258,50MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 680 Processor,15495,2023-06-17,vivo,4.0,128,5000
1089,"vivo V21e (Sunset Jazz, 128 GB)",4.3,8006,64MP + 8MP,32MP Front Camera,MediaTek Dimensity 700 Processor,24990,2023-06-17,vivo,8.0,128,4000
1090,"vivo V21e (Dark Pearl, 128 GB)",4.3,8006,64MP + 8MP,32MP Front Camera,MediaTek Dimensity 700 Processor,23999,2023-06-17,vivo,8.0,128,4000
1091,"vivo X60 Pro+ (Emperor Blue, 256 GB)",4.5,357,50MP + 48MP + 32MP + 8MP,32MP Front Camera,Qualcomm Snapdragon 888 Processor,64990,2023-06-17,vivo,12.0,256,4200
1092,"vivo U10 (Electric Blue, 64 GB)",4.4,5623,13MP + 8MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 665 AIE Processor,13990,2023-06-17,vivo,4.0,64,5000
1094,"vivo Y51A (Crystal Symphony, 128 GB)",4.3,10554,48MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 662 Processor,17990,2023-06-17,vivo,8.0,128,5000
