,Rating ?/5,Number of Ratings,Price in INR,Ram_size,Storage_size,Battery_size,Company_name,Company_name
63,4.3,9101,11999,6.0,64.0,5000.0,15,15
64,4.4,13111,10499,4.0,128.0,5000.0,15,15
65,4.4,13111,10499,4.0,128.0,5000.0,15,15
66,4.1,55030,6499,3.0,32.0,5000.0,15,15
67,4.4,13111,10499,4.0,128.0,5000.0,15,15
68,4.1,55030,6499,3.0,32.0,5000.0,15,15
69,4.1,55030,6499,3.0,32.0,5000.0,15,15
70,4.3,17768,19999,8.0,128.0,5000.0,15,15
71,4.3,17768,19999,8.0,128.0,5000.0,15,15
72,4.3,17768,19999,8.0,128.0,5000.0,15,15
73,4.3,24728,18999,6.0,128.0,5000.0,15,15
74,4.3,24728,18999,6.0,128.0,5000.0,15,15
75,4.3,24728,18999,6.0,128.0,5000.0,15,15
76,4.3,10967,12499,4.0,64.0,5000.0,15,15
77,4.3,10967,12499,4.0,64.0,5000.0,15,15
78,4.3,4676,15499,8.0,128.0,5000.0,15,15
79,4.4,4115,17999,8.0,128.0,5000.0,15,15
80,4.4,4115,17999,8.0,128.0,5000.0,15,15
81,4.3,4676,15499,8.0,128.0,5000.0,15,15
82,4.2,127,7076,3.0,32.0,5000.0,15,15
83,4.2,127,7078,3.0,32.0,5000.0,15,15
84,4.3,8557,16999,6.0,128.0,5000.0,15,15
85,4.5,48258,14999,4.0,64.0,5000.0,15,15
86,4.4,17460,12999,4.0,64.0,5000.0,15,15
87,4.3,11210,12999,6.0,128.0,5000.0,15,15
88,4.3,8557,16999,6.0,128.0,5000.0,15,15
89,4.3,8557,16999,6.0,128.0,5000.0,15,15
90,4.5,48258,14999,4.0,64.0,5000.0,15,15
91,4.3,11210,12999,6.0,128.0,5000.0,15,15
92,4.5,48258,14999,4.0,64.0,5000.0,15,15
93,4.3,359,13399,6.0,128.0,5000.0,15,15
94,4.4,51873,9999,4.0,128.0,6000.0,15,15
95,4.4,12742,15495,8.0,128.0,5000.0,15,15
96,4.4,17460,12350,4.0,64.0,5000.0,15,15
97,4.1,360,8449,4.0,64.0,5000.0,15,15
98,4.6,91242,7499,3.0,32.0,5000.0,15,15
99,4.6,91242,7499,3.0,32.0,5000.0,15,15
100,4.3,359,13589,6.0,128.0,5000.0,15,15
101,4.6,91242,7499,3.0,32.0,5000.0,15,15
102,4.4,25430,8999,3.0,32.0,5000.0,15,15
103,4.4,25430,8999,3.0,32.0,5000.0,15,15
104,4.4,25430,8999,3.0,32.0,5000.0,15,15
105,4.3,77321,12499,6.0,128.0,5000.0,15,15
106,4.4,51873,10489,4.0,128.0,6000.0,15,15
107,4.4,69800,9999,4.0,64.0,5000.0,15,15
108,4.4,69800,9999,4.0,64.0,5000.0,15,15
109,4.4,69800,9999,4.0,64.0,5000.0,15,15
110,4.3,63130,8949,4.0,64.0,5000.0,15,15
111,4.3,9393,23999,8.0,128.0,5000.0,15,15
112,4.3,9393,23999,8.0,128.0,5000.0,15,15
113,4.3,77321,12499,6.0,128.0,5000.0,15,15
114,4.4,13111,9999,4.0,64.0,5000.0,15,15
115,4.4,13111,9999,4.0,64.0,5000.0,15,15
116,4.4,13111,9999,4.0,64.0,5000.0,15,15
117,4.5,48051,8049,3.0,32.0,5000.0,15,15
118,4.5,48051,8049,3.0,32.0,5000.0,15,15
119,4.4,65343,8749,4.0,64.0,5000.0,15,15
120,4.4,65343,8749,4.0,64.0,5000.0,15,15
121,4.3,28717,15999,8.0,128.0,5000.0,15,15
122,4.4,16541,25999,8.0,128.0,5000.0,15,15
123,4.1,1238,11998,4.0,64.0,5000.0,15,15
124,4.1,1238,11300,4.0,64.0,5000.0,15,15
125,4.4,16541,25999,8.0,128.0,5000.0,15,15
126,4.4,16541,25999,8.0,128.0,5000.0,15,15
127,4.4,24462,24999,6.0,128.0,5000.0,15,15
128,4.1,1238,11979,4.0,128.0,5000.0,15,15
129,4.4,24462,24999,6.0,128.0,5000.0,15,15
130,4.4,24462,24999,6.0,128.0,5000.0,15,15
131,4.4,6173,6999,2.0,32.0,5000.0,15,15
132,4.4,6173,6999,2.0,32.0,5000.0,15,15
133,4.5,27119,14499,6.0,128.0,5000.0,15,15
134,4.4,28393,14999,6.0,128.0,5000.0,15,15
135,4.1,360,8427,4.0,64.0,5000.0,15,15
136,4.4,28393,14999,6.0,128.0,5000.0,15,15
137,4.4,51873,8999,4.0,64.0,6000.0,15,15
138,4.4,12742,15499,8.0,128.0,5000.0,15,15
139,4.4,51873,8999,4.0,64.0,6000.0,15,15
140,4.3,16739,11699,6.0,128.0,5000.0,15,15
141,4.3,63130,8910,4.0,64.0,5000.0,15,15
